tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
5.70E+17,negative,1,Late Flight,1,Southwest,,KellDuckKan,,0,@SouthwestAir my flight was delayed 4 hrs. I'm 5 months pregnant &amp; supposed to be caring for my mom whose in surgery now. Very upset.,,2/24/15 11:26,"Columbus, OH",Eastern Time (US & Canada)
5.70E+17,positive,1,,,Southwest,,tylerhansen331,,0,@SouthwestAir thank you so much completely made things right!,,2/24/15 11:25,,
5.70E+17,positive,1,,,Southwest,,Shpressyourself,,0,@SouthwestAir love them! Always get the best deals!,,2/24/15 11:21,,Central Time (US & Canada)
5.70E+17,positive,0.6469,,,Delta,,jaxbra,,0,"@JetBlue Yesterday on my way from EWR to FLL just after take-off. :)
#wheelsup #JetBlueSoFly http://t.co/9xkiy0Kq2j",,2/24/15 11:48,"east brunswick, nj",Atlantic Time (Canada)
5.70E+17,neutral,0.6869,,,Delta,,Oneladyyouadore,,0,@JetBlue I hope so because I fly very often and would hate to change airlines.,,2/24/15 11:48,Georgia,Quito
5.70E+17,neutral,1,,,Delta,,Oneladyyouadore,,0,"@JetBlue flight 1041 to Savannah, GA",,2/24/15 11:45,Georgia,Quito
5.70E+17,negative,1,Flight Attendant Complaints,0.6522,Delta,negative,Oneladyyouadore,,0,"@JetBlue They weren't on any flight, they just came Late Flight. Your JetBlue employee just informed us!",,2/24/15 11:42,Georgia,Quito
5.70E+17,negative,1,Bad Flight,1,Delta,,Oneladyyouadore,,0,@JetBlue everyone is here but our pilots are no where to be found and my last flight the plane was dirty that I had to clean my area &amp; seat!,,2/24/15 11:32,Georgia,Quito
5.70E+17,neutral,0.6472,,0,Delta,,culinarymindz,,0,"@JetBlue update on Flight 462 would be appreciated when you have time, thanks",,2/24/15 11:31,,
5.70E+17,neutral,0.6939,,,Delta,,kbosspotter,,0,@JetBlue check DM please :),,2/24/15 11:30,Logan International Airport,Atlantic Time (Canada)
5.70E+17,negative,1,Flight Booking Problems,0.6921,Delta,,heyheyman,,0,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",,2/24/15 11:26,"Boston, MA",Eastern Time (US & Canada)
5.70E+17,negative,0.6292,Flight Booking Problems,0.3146,US Airways,,jhazelnut,,0,@USAirways  is there a better time to call? My flight is on Friday and I need to change it. Worried I may be on hold until then.,,2/24/15 11:53,,
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,GAKotsch,,0,@USAirways and when will one of these agents be available to speak?,,2/24/15 11:51,,Atlantic Time (Canada)
5.70E+17,neutral,1,,,US Airways,,DebbiMcGinnis,,0,@USAirways is a DM possible if you aren't following me?,,2/24/15 11:48,Missourah,Hawaii
5.70E+17,neutral,1,,,US Airways,,AshleyKAtherton,,0,@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.,,2/24/15 11:47,,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,0.6452,US Airways,,retardedlarry,,0,@USAirways just hung up on me again.  Another waste of an hour of my time.  How am I supposed to book a one way award flight?  #badwebsite,,2/24/15 11:46,,
5.70E+17,neutral,1,,,US Airways,,AshleyKAtherton,,0,@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!,,2/24/15 11:43,,Central Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,US Airways,,Matt_Bernanke,,0,@USAirways you're killing me from the inside,,2/24/15 11:41,,Quito
5.70E+17,negative,0.702,Flight Attendant Complaints,0.702,US Airways,,jeremyleewhite,,0,@USAirways is not the new @AmericanAir is more like the new @SpiritAirlines. Love AA. Not impressed with the subpar planes and gate agents.,"[35.21979387, -80.94498281]",2/24/15 11:39,,
5.70E+17,positive,1,,,US Airways,,noelzucchero,,0,@USAirways we were moved to a delta direct. Thank you for the accommodations!,,2/24/15 11:39,,Eastern Time (US & Canada)
5.70E+17,negative,1,Customer Service Issue,1,American,,SweeLoTmac,,0,@AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless,,2/24/15 11:44,,Quito
5.70E+17,neutral,0.6667,,,American,,LancasterPattie,,0,@AmericanAir we've already made other arrangements ourselves.,,2/24/15 11:43,,
5.70E+17,negative,0.6316,Bad Flight,0.3164,American,,ELLLORRAC,,0,@AmericanAir thanks for getting back to me. But I will find other airlines in the future.,,2/24/15 11:43,,Central Time (US & Canada)
5.70E+17,negative,0.6846,Flight Booking Problems,0.6846,American,,SweeLoTmac,,0,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,,2/24/15 11:43,,Quito
5.70E+17,negative,0.6547,Late Flight,0.3331,American,,LauraMolito,,0,"@AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal",,2/24/15 11:41,"New York, NY",Atlantic Time (Canada)
5.70E+17,negative,1,Flight Booking Problems,0.6796,American,,barbararwill,,0,"@AmericanAir no thanks.  As I said, being denied miles that expired one week ago was the last drop for me; plan to avoid AA as possible.",,2/24/15 11:40,Mexico City,
5.70E+17,negative,0.667,Customer Service Issue,0.3341,American,,Bossman1908,,0,"@AmericanAir sorry so Late Flight, responded to your DM.",,2/24/15 11:40,Liverpool,
5.70E+17,positive,0.6604,,,American,,bharris77,,0,"@AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.",,2/24/15 11:40,"Frisco, Texas",Central Time (US & Canada)
